name,calories,portion,unite
Crème fraiche légère 4 % auchan,73,100,gramme
Crème fraîche légère liquide carrefour,162,100,gramme
Crème fraîche liquide semi-épaisse 5%,80,100,gramme
Crème fraîche semi épaisse babette 12%,140,100,gramme
Crème fraiche semi-epaisse légère (18% mg) auchan,193,100,gramme
Crème fraiche solight 5% balade,79,100,gramme
"Creme fromage au chocolat blanc 0,6gr mg",76,100,gramme
Crème gerlinea,202,100,gramme
Crème glacée au chocolat,255,100,gramme
Crème glacée café picard,80,100,ml
Crème glacée carte d'or à la vanille,105,100,gramme
Crème glacée chapman's napolitaine légère (125ml),110,1,unité
Crème glacée chocolat picard,118,100,ml
Crème glacée menthe chocolat picard,106,100,ml
Crème glacée vanille picard,101,100,ml
Crème hyperprotéiné gayelord hauser chocolat,367,100,gramme
Crème hyperprotéinée saveur vanille gayelord hauser (mon programme minceur matin & midi booster),72,1,portion
Crème légère carrefour 4%,74,100,gramme
Crème légère semi épaisse 4% (elle & vire) 20 cl,74,100,gramme
Crème liquide 15% mg (marque repère),162,100,gramme
Crème liquide bridelight extra légère 3%,69,100,gramme
Crème liquide extra légère 5% mg marque repère,75,100,ml
Crème liquide extra light carrefour 5%,84,100,gramme
Crème liquide extra-légère 5 % auchan,87,100,gramme
Crème liquide légère 15% milbona,163,100,ml
Creme liquide milsani,294,100,gramme
Creme mont blanc,121,100,gramme
Creme patissière,159,100,gramme
Creme pâtissière (bridelice),144,100,gramme
Creme saveur caramel dietline,334,100,gramme
Crème saveur caramel hyperprotéinée gayelord hauser,360,100,gramme
Crème saveur vanille carrefour,177,100,gramme
Crème semi épaisse 18 % ( carrefour),195,100,ml
Crème utltra légére 4% printiligne,74,100,gramme
Crème vanille dietline,330,100,gramme
Crème vanille protéinée de prodiet,84.8,100,gramme
Crémeux au riz thaï & lait de coco,122.7,100,gramme
Crêpe (methode olivier lafay),146,1,portion
Crêpe au sucre,73,1,unité
Crêpe fourrée au chocolat monoprix (unité),137,1,unité
Crêpe gourmande jambon-emmental sodebo : par unité,238,1,unité
Crepe jambon fromage surgeles(2co+),141,100,gramme
Crêpe lafay,228.46,100,gramme
Crêpe nature la fée régime,342,100,gramme
Crèpes,263.03,100,gramme
Crêpes bretonnes leader price : par unité,94,100,gramme
Crêpes chocolat-noisette u,419,100,gramme
Crepes dentelle  chocolat noir casino delices,494,100,gramme
Crêpes dentelle de quiper nature,449,100,gramme
"Crepes dentelle nature, gavotte",445,100,gramme
Crepes dentelles 'recette de quimper' au chocolat au lait monoprix gourmet,498,100,gramme
Crepes dentelles 'recette de quimper' nature monoprix gourmet,449,100,gramme
Crêpes éco+,380,100,gramme
Crêpes fromage marie,162,100,gramme
Crèpes jambon-fromage auchan,138,100,gramme
Crêpes jambon-fromage marie,176,100,gramme
Crêpes jambon-fromage surgelées côté table (leclerc),150,100,gramme
Crêpes jambon-fromage tante yvonne (marque repère surgelés),165,100,gramme
Crepes nature x8 rayon fraix nonoprix,216,100,gramme
Crépes protéinées,413,100,gramme
Cresson,16,100,gramme
Cretons de veau,181.8,100,gramme
Crevette saute au curry,295.7,100,gramme
Crevettes à l'indienne lentilles corail et légumes picard,95,100,gramme
Crevettes cuites,79.6,100,gramme
Crevettes décortiquées cuites top budget,63,100,gramme
Crevettes decortiquées et cuites,73,100,gramme
Crevettes en conserve,82.9,100,gramme
"Crevettes entières cuites, surgelées",95,100,gramme
Crevettes grises décortiquées aldi,92,100,gramme
Crevettes grises épluchées aldi,92,100,gramme
Crevettes panées et frites,242,100,gramme
Crevettes panées et frites (l'unité),27,1,unité
Crevettes pic nic en boite,75,100,gramme
Crevettes roses,103,100,gramme
Crevettes sauce piquante (marie),167,100,gramme
"Crevettes tigrées ""scampi"" décortiquées et blanchies",91,100,gramme
Crevettes tropicales decortiquées cuites eco +,95,100,gramme
Crispello chocolat milka,560,100,gramme
Croc jambon de dinde pané (père dodu),234,100,gramme
Croc seitan soy,218,100,gramme
Crock matin,461,100,gramme
Croc'fromage père dodu,243,100,gramme
Croc's fromage et dinde leclerc,220,100,gramme
Croissant,180,1,unité
Croissant au amandes,451.1,1,unité
Croissant au fromage,174,1,unité
Croissant aux amandes,451,100,gramme
Croissant beurre,404.8,100,gramme
Croissant jambon-emmental super u : par unité,412,1,unité
Croissants beurre carrefour,398,100,gramme
Croissants monoprix,395,100,gramme
Croq muesli,450,100,gramme
Croq soja champignon shitakes & gingembre (cereal bio),155,100,gramme
Croq soja curry & pavot,169,100,ml
Croq soja fromage (cereal bio),183,100,gramme
Croq soja provencale céréal bio,158,100,gramme
Croqe hawaien ( à l'ananas ),153,100,gramme
Croquant aux graines de sésame (bonbons) (le morceau),9,1,unité
Croquant aux graines de sésame (bonbons) (le paquet),181,1,portion
Croquant aux graines de sésame (bonbons) (le rectangle),45,1,unité
Croquant miel sésame (gerblé),499,100,gramme
Croquant miel sésame gerble,499,100,gramme
Croquants aux noix d'amazonie,453,100,gramme
Croquants aux pépites de chocolat taillefine,405,100,gramme
Croque à la bolognaise auchan,173,100,gramme
Croque mac do (1 = 95 g),275,1,portion
Croque mcdo,260,1,part
Croque monsieur ,390,1,portion
Croque monsieur à toaster chorizo fromage herta,304,100,gramme
Croque monsieur classique hérta,276,100,gramme
Croque monsieur crusti frais,208,100,gramme
Croque monsieur herta - chèvre,282,100,gramme
Croque tofou au comté (soy),203,100,gramme
Croque tofou aux algues (soy),150,100,gramme
Croque tofou aux champigons (soy),157,100,gramme
Croque tofu ail et fines herbes,165,100,gramme
Croque tofu comté,203,100,gramme
Croque tofu curry pavot,159,100,gramme
Croquette pomme de terre,214,100,gramme
Croquettes de crevettes,170,100,gramme
Croquettes de poisson ail et fines herbes findus,200,100,gramme
Croquettes de poisson winny,136,100,gramme
Croquettes de pommes de terre au four - migros,171,100,gramme
Croque' emmental président,234,100,gramme
Croq' jambon de dinde le gaulois,202,100,gramme
Croq'soja bio express,148,100,gramme
Croq'soja curry & pavot,169,100,gramme
Crottin de chavignol (chevre),322,100,gramme
Crousti muesli fruits rouges (gerble),393,100,gramme
Crousti nuages père dodu,225,100,gramme
Crousti quartiers findus,220,100,gramme
Croustibat findus,210,100,gramme
Croustillant de saumon tomates à la provençale - maggi,174,100,gramme
Croustillants au chocolat,439,100,gramme
Croustillants aux fruits rouges bjorg,428,100,gramme
Croustilles belin à la cacahuète,480,100,gramme
Croustilles de belin emmental,545,100,gramme
Croustilles fromage,565,100,gramme
Croustipate feuilles filo,283,100,gramme
Croustipâte petits pains au chocolat,370,100,gramme
Crousti'son miel sésame gerblé,423,100,gramme
Crousty 2 chocolats,434,100,gramme
Crousty 3 céréales,446,100,gramme
Croustysoy saumon aneth,170,100,gramme
Croûte de flocons de maïs avec fruits (barre pour petit-déjeuner),139,1,unité
Croûtons à l'ail pour la soupe,556,100,gramme
Croutons saveur ail (narvik),525,100,gramme
Croûtons saveur ail et fines herbes epi d'or,410,100,gramme
Croûtons saveur nature epi d'or (special salade) leclerc,420,100,gramme
Croutons special salade ail fines herbes (marque leclec epi d'or),410,100,gramme
Croûtons special salade ail fines herbes (marque leclerc epi d'or),410,100,gramme
Crozets au sarrazin (pâtes),362,100,gramme
Crudités mélangées (florette),32,100,gramme
Cruesli aux fruits quaker,415,100,gramme
Cruesli chocolat ,460,100,gramme
Cruesli chocolat au lait,465,100,gramme
Cruesli fruits & fibres quaker,410,100,gramme
Cruesli quaker 4 noix,485,100,gramme
Cruesli quaker chocolat,449.5,100,gramme
Crumble ,279,100,gramme
Crumble (préparation pour) francine,516,100,gramme
Crumble fraises-rhubarbe surgelé marie,153,100,gramme
Crumble pomme vanille petit trianon,357,100,gramme
"Crumble poulet, légumes et mozzarella (casino)",164,100,gramme
Crumpets regent's park,183,100,gramme
Crunch,413,100,gramme
Crunch de nestlé céréales,410,100,gramme
Crunchips (les festives) saveur moutarde,520,100,gramme
Crunchy aux flocons d'avoines bio,417,100,gramme
Crunchy choco ( migros ),432,100,gramme
Crunchy muesli choco (carrefour,455,100,gramme
Crusty (tranches croustillantes) bioland,408,100,gramme
Cubes de tomates à l'italienne,28,100,gramme
Cueillette de saveurs champignons de paris et pleurotes,18,100,gramme
Cuisse de grenouille,72,100,gramme
Cuisse poulet,161,100,gramme
Cuisses de canard cuisinées en confits marque le gaulois,262,100,gramme
Cuisses de poulet congelé éco+ de leclerc,210,100,gramme
Cuisses de poulet sauce barbecue (le gaulois),132,100,gramme
Culotte de boeuf,289,100,gramme
Culotte de veau,171,100,gramme
Culver's : single butterburger original,355,1,unité
Cumin,410.2,100,gramme
Cumin en graines,375,100,gramme
Cup nouilles asiatiques saveur légumes leader price,473.66,100,gramme
Curaçao,270,100,ml
Curcuma moulu,354,100,gramme
Curly,510,100,gramme
Curly plaisir léger,190,1,portion
Curry poudre,295.7,100,gramme
Cw protein aptonia saveur chocolat,360,100,gramme
Damae ramen - gout canard,93,100,gramme
Danacol à boire aux fruits exotiques,68,100,ml
Danacol aux fruits jaunes panachés de danone,83.4,100,gramme
Danacol recette au fromage blanc vanille,61,100,gramme
Danacol yaourt de danone,53,100,gramme
Danao orange mangue,51,100,ml
"Danao orange, banane, fraise",55,100,ml
Danao pêche-abricot,48,100,ml
Danao pomme-fruit exotique,47,100,gramme
Danette caramel,120.7,100,gramme
Danette chocolat,135.4,100,gramme
Danette chocolat (delisse marque repère),130,100,gramme
Danette chocolat blanc ,132,100,gramme
Danette chocolat saveur coco,129,100,gramme
Danette crème brulée ,115,100,gramme
Danette crème dessert au chocolat blanc,132,100,gramme
Danette crème dessert aux éclats de coco,123,100,gramme
Danette crousti choco,149.5,100,gramme
Danette danone crème dessert au chocolat noir extra,131,100,gramme
Danette danone crème dessert aux éclats de coco,123,100,gramme
Danette danone crème dessert petit beurre,115,100,gramme
Danette danone crock aux pépites de chocolat,144,100,gramme
Danette danone dessert à la crème brûlée,115,100,gramme
Danette double saveur vanille sur lit  caramel,130.6,100,gramme
Danette double saveur vanille sur lit chocolat,120.1,100,gramme
Danette expresso,124.4,100,gramme
Danette goût vanille,111.4,100,gramme
Danette goûter au lait,162.7,100,gramme
Danette grains de malice,150,100,gramme
Danette mousse liégeoise,198,100,gramme
Danette mousse liégeoise : par pot de 80g,158,1,pot
Danette praliné ,118,100,gramme
Danette saveur pistache,112.2,100,gramme
Danio,106,100,gramme
Danival poire cacao,73.3,100,gramme
Danone cottage cheese,91,100,gramme
Danone crémeux 15% mg (yogourt brassé),90,100,gramme
Danone gervais nature sucré,125.8,100,gramme
Danone nutriday delicios,86,100,gramme
Danone velouté nature,98,1,pot
Danone yaourt maigre nature,66,1,portion
Dany chocolat,126.8,100,gramme
Dany flan au lait goût vanille nappé caramel,107.2,100,gramme
Dany goût vanille,108,100,gramme
Dan'up banane,68,100,gramme
Dan'up danone (50 cl),395,100,ml
Dan'up danone (50cl),395,1,canette
Dar vida oliven,410,100,gramme
Dar-vida mini nature,390,100,gramme
Dark dog,49.5,100,gramme
Das volle korn,188,100,gramme
Datte seche,278,100,gramme
Dattes,304.5,100,gramme
Daunat xxl poulet rôti crudités,258,100,gramme
Daurade (portion 200gr),154,1,portion
Découpe de canard  douce france,91,100,gramme
Dégustation 70% noir intense - cote d'or,590,100,gramme
Delhaize barre figue pruneau,372,100,gramme
Delhaize flocons d'avoine bio,372,100,gramme
Deli dome ratatouille bonduelle,76,100,gramme
Deli matin de pti deli aux pépites de chocolat,470,100,gramme
Deli mousse  biscuit fouré chocolat (marque repère leclerc),460,100,gramme
Déli soup julienne légumes asiatique,18,100,ml
Déli soup' brocoli,29,100,ml
Déli soup' délice de légumes,53,100,ml
Déli soup' délice de légumes (1 portion),176,1,portion
