name,calories,portion,unite
All-bran fruits et fibres Kellogg's,358,100,gramme
All-bran pétales Kellogg's,326,100,gramme
All-bran pétales Kellogg's,78.6,1,portion
All-bran snack bites Kellogg's,100,1,portion
Allumettes de Canard CARREFOUR 2x80Grs,104,100,gramme
Allumettes de jambon fleury michon,114,100,gramme
"Allumettes de lardons fumés ""Ondilège"" - 25 % de sel",276,100,gramme
"Allumettes de lardons fumés ""Ondilège"" - 25 % de sel, une portion de 50 g",138,100,gramme
Allumettes de volaille 2x75g fleury michon,118,100,gramme
Allumettes lardons Auchan,287,1,paquet
Alose,170,100,gramme
Aloyau de boeuf,266,100,gramme
Aloyau de veau,175,100,gramme
Alpen swiss style muesli,359,100,gramme
Alphabet et chiffres en sucre Vahiné,376,100,gramme
Alpro (boisson goût banane),80,100,gramme
Alpro (boisson goût chocolat),76,100,gramme
Alpro (boisson goût vanille),70,100,gramme
Alpro (crême fraîche),168,100,gramme
Alpro (cuire et rôtir),676,100,gramme
Alpro (lait nature),47,100,gramme
Alpro (lait sans sucre ni sel),35,100,gramme
Alpro (pudding goût chocolat),81,100,gramme
Alpro (pudding goût vanille),81,100,gramme
Alpro (yougourt nature),59,100,gramme
Alpro soja light 15% ( margarine),146,100,gramme
Alpro soya minarine 0% cholesterol,361,100,gramme
Amande (unité),10,100,gramme
AMANDE EN POUDRE,625,100,gramme
Amandes,634,100,gramme
Amandes de californies décortiquées Carrefour,634,100,gramme
Amandes decortiquées (daco bello),576,100,gramme
Amandes effilées,616,100,gramme
Amandes en poudre Netto,598,100,gramme
Amandes en poudre Daco bello,576,100,gramme
Amandes grillées Sun-time,597,100,gramme
"Amandine (en boulangerie, unité = 85g)",349,100,gramme
Amarante,35,100,gramme
Amaretti leader price (macarons aux amandes),436,100,gramme
Ambrosia Crème Anglaise du Devon,102,100,gramme
Ambrosia Pudding de Riz,93,100,gramme
Américain bun's jambon fromage,273,100,gramme
American sandwich harry's complet,241,100,gramme
American way-active sandwich Lidl,264,100,gramme
Amidon de maïs,340,100,gramme
Amino acids chain Aptonia,352,100,gramme
Amuse-bouche de la mer en cuillères Thiriet,146,100,gramme
Ananas,45,100,gramme
Ananas (compote),88,100,gramme
Ananas (conserve au naturel),65,100,gramme
Ananas (conserve au sirop),77,100,gramme
Ananas (conserve),96,100,gramme
Ananas au sirop leger st mamet,59,100,gramme
Ananas delice Agrodeal,50,100,gramme
Ananas en morceaux au jus - dole,51,100,gramme
"Ananas en morceaux au jus d'ananas ""casino""",59,100,gramme
Ananas en morceaux au sirop leger Eco+,67,100,gramme
Ananas en tranches au jus naturel Carrefour,53,100,gramme
Ananas frais,51,100,gramme
Ananas jus,54,100,gramme
Ananas nature frais,48,100,gramme
"Ananas tranches brisées jus naturel, fruistar Leclerc marque repère",65,100,gramme
Ananas tranches entières jus naturel conserve DOUCEUR du VERGER,65,100,gramme
Anchois,160,100,gramme
Anchois (à l'huile),302,100,gramme
Anchois (en conserve),189,100,gramme
Anchois (frais),101,100,gramme
Andouille,300,100,gramme
Andouille,22,1,tranche
Andouille de guéméné (3 tranches = 30g),71,100,gramme
Andouille de vire (3tranches=30g),72,100,gramme
Andouillette,320,100,gramme
Andouillette sauce moutarde et pommes de terre Fleury michon,186,100,gramme
Andros fruit addict ananas coco,102,100,gramme
Andros fruit addict framboise,77,100,gramme
Andros fruit addict passion,73,100,gramme
Angélique confite,310,100,gramme
Anguille (de mer fumée),207,100,gramme
Anguille (de rivière fumée),385,100,gramme
Anguille de mer,148,100,gramme
Anguille de rivière,250,100,gramme
Anguille fumée,305,100,gramme
Anisette,320,100,gramme
Anna's best café de paris grill-sauce Migros,696,100,gramme
Annone,78,100,gramme
Apericube La vache qui rit,16,1,unité
Apéricube La vache qui rit,16,1,cube
Apérifruit raisin banane amande et noisette Lorenz,420,100,gramme
"Apérimis panachés curry , nature, paprika Fleury michon",191,100,gramme
"Apérimis panachés provençale, ail & herbes, poivre Fleury michon",165,100,gramme
Apéritif Brossard,300,100,gramme
Aperitif apérifruit raisin ananas papayes banane noix de coco (lorenz),400,100,gramme
Apéritif melange impec raisin noisette amandes noix de cajou cacahuète (lorenz),490,100,gramme
Apéritifs,200,100,gramme
Apérivrais saint-moret à la provençale,327,100,gramme
"Apérivrais saint-moret à la provençale : une bouchée de 6,6 g",21,100,gramme
Appenzell (fromage),409,100,gramme
Apple pie (chausson aux pommes) Mac Donald's,263,100,gramme
Apple-pie,300,100,gramme
Apropo chapeaux,530,100,gramme
Arachide (pâte),610,100,gramme
Araignée (boeuf),200,100,gramme
Araignée (veau),171,100,gramme
Araignée de mer,95,100,gramme
Armagnac,250,100,gramme
Aromates,0,100,gramme
Arôme saveur maggi,68,100,gramme
Arroche,14,100,gramme
Artichaut cuit,45,100,gramme
Asperge,26,100,gramme
Asperge (boîte),16,100,gramme
Asperge blanches pelees Eco+,12,100,gramme
Asperges ( géant vert),12,100,gramme
"Asperges blanches Pic-nic ""Sauvanet""",16,100,gramme
Asperges vertes géant vert,13,100,gramme
Asperges vertes surgelées picard,23,100,gramme
Assaisonnement allégé pr salade Florette,62,100,gramme
Assaisonnement pour burrito Old el paso,311,1,paquet
Assortiment 3 fruits Daco bello,435,100,gramme
"Assortiment confiseries, confiserie du domaine Leclerc marque repère",403,100,gramme
"Assortiment de biscuits fins, p'tit déli Leclerc marque repère",521,100,gramme
Assortiment de confiseries aromatisées COPAINS COPINES marque repère,346,100,gramme
Assortiment de confiseries aromatisées réglisses et confiseries gélifiées marque repère,345,100,gramme
"Assortiments biscuits saveurs suisses, p'tit déli Leclerc marque repère",533,100,gramme
Assortiments pâtissiers P'TIT DELI marque repère,528,100,gramme
Athérine,85,100,gramme
Aubergine,29,100,gramme
Aubergine,72,1,unité
Aubergine à la parmigiana,200,100,gramme
Aubergine cuite,18.2,100,gramme
Aubergines à la provençale Dia,72,100,gramme
Auchan coquillettes pâtes d'alsace aux oeufs  Auchan,357,100,gramme
Auchan salami danois,510,100,gramme
Auchan tablette choco crac',522,100,gramme
Auchan yaourt nature maigre 0%,40,100,gramme
Autruche (filet),93,100,gramme
Autruche (steak),99,100,gramme
"Aux cèpes, p. d'asperges vertes, hv & fèves pelées Thiriet",66,100,gramme
Aveline (= noisette),630,100,gramme
Avocat,138,100,gramme
Avocat (guacamole),147,100,gramme
Avocat hass,161,100,gramme
Avoine (farine),350,100,gramme
Avoine (flocons),367,100,gramme
Avoine (grains),334,100,gramme
Avoine (son),246,100,gramme
Azérole (= petite cerise),32,100,gramme
Azi muts biscuits avec tablette de chocolat au lait et noisettes,495,100,gramme
Baba au rhum,324,100,gramme
Baba au rhum Leader price,231,1,portion
Babybel,260,100,gramme
Babybel au cheddar,370,100,gramme
Babybel au cheddar : par unité de 20g,74,100,gramme
Babybel au chèvre,317,100,gramme
Babybel l'unité 40g,141,100,gramme
Babybel mini (22gr),68,100,gramme
Babybel mini light,203,100,gramme
Babybel mini ligth - unité 20g,42,100,gramme
Bacon,385,100,gramme
Bacon (filet fumé) carrefour n°1,124,100,gramme
Bacon (filet),123,100,gramme
Bacon (fumé),385,100,gramme
"Bacon fumé - eco+ (paquet de 12 tranches, poids : 150 g)",140,100,gramme
Bacon idéal pour la cuisson moins de 4%mg Herta,119,100,gramme
Bacon petit-déjeuner herta,214,100,gramme
Badoit,0,100,gramme
Badoit rouge,0,100,gramme
Bagel nature,210,1,unité
Bagels (petits pains américains) Picard,253,100,gramme
Bagnat au thon Brioche dorée,548,1,part
Baguette,289,1,portion
Baguette (pain blanc),264,100,gramme
Baguette aux céréales,264,100,gramme
Baguette perene multicereale Perene,300,100,gramme
Baguette precuite U,234,100,gramme
Baguette précuite (150 gr) Carrefour,248,100,gramme
Baguettes viennoises La boulangère,330,100,gramme
Baguettes viennoises La boulangère,280,1,unité
Baileys,327,100,gramme
Baiocchi (biscuits barilla),497,100,gramme
Balade - beurre demi-écrémé - doux,385,100,gramme
Balade solight 3% mini cake au fromage blanc nature,698,100,gramme
Balisto (aux raisins),212,100,gramme
Balisto cereal-mix (couleur orange) 1 unité (=20.5 g),103,100,gramme
Balisto fruits des bois,514,100,gramme
Balisto fruits des bois : une barre de 20 g,103,100,gramme
Balisto lait-miel-amandes,517,100,gramme
Balisto lait-miel-amandes : par barre de 20 g,103,100,gramme
Balisto matin biscuits (1 barre = 21.7g),513,100,gramme
Balisto miel-amande,533,100,gramme
Balisto muesli-céréales,515,100,gramme
Balisto yoghurt Balisto,505,100,gramme
Bami goreng Vitasia,104,100,gramme
Banana split mamie nova : par coupelle de 85 g,170,100,gramme
Banane,90,100,gramme
Banane (chips cristalisés),128,100,gramme
Banane plantain,126,100,gramme
Banane sèche,290,100,gramme
Banane séchées de daco,257,100,gramme
Banania 100g,395,100,gramme
Banette (225g) pour 100g,302,100,gramme
Baobab (fruit) - pain de singe,173,100,gramme
Bar,90,100,gramme
Barbe à papa,301,100,gramme
Barbue,117,100,gramme
Bardane (racine),96,100,gramme
"Barq's crème soda (the coca-cola company, usa)",47,100,gramme
"Barq's crème soda diète (the coca-cola company, usa)",1,100,gramme
"Barq's crème soda vanille (the coca-cola company, usa)",46,100,gramme
"Barq's crème soda vanille diète (the coca-cola company, usa)",0,100,gramme
Barquette 3 chatons chocolat,490,100,gramme
Barquette 3 Chatons de LU à la fraise,345,100,gramme
Barquette 3 Chatons de LU à la framboise,345,100,gramme
Barquette 3 Chatons de LU à labricot,340,100,gramme
Barquette 3 chattons à la fraise (sachet de 3) Lu,68,1,portion
Barquette a la pulpe de fraise ( marque champion),364,100,gramme
Barquette de lu biscuits chocolat noisettes lait,489,100,gramme
Barquette fraise sondey Lidl,140,1,paquet
Barquette framboise U,364,100,gramme
Barquette framboise (6 biscuits) U,146,1,portion
Barquette pulpe de fruits,373,100,gramme
Barquettes abricots U,364,100,gramme
Barquettes abricots U,146,1,portion
Barquettes choco noisette Casino,490,100,gramme
Barquettes chocolat noisette U,491,100,gramme
Barquettes chocolat noisette 3x6 biscuits U,196,1,portion
Barquettes chocolat noisette Carrefour Kids 3X6 biscuits,483,100,gramme
Barquettes fraise U,364,100,gramme
Barquettes fraise Casino,357,100,gramme
Barquettes fraise (lidl) Amora,140,1,portion
Barquettes framboise U,146,1,portion
"Barqs floatz (the coca-cola company, usa)",52,100,gramme
"Barqs root beer (the coca-cola company, usa)",46,100,gramme
"Barqs root beer diète (the coca-cola company, usa)",0,100,gramme
"Barre 4/4 500g, p'tit déli Leclerc marque repère",438,100,gramme
"Barre 4/4 800g, p'tit déli Leclerc marque repère",437,100,gramme
Barre amande gerblé : par unité,103,100,gramme
Barre aux céréales riz et blé complet figue fine ligne leader price,373,100,gramme
Barre aux céréales riz et blé complet fraise fine ligne leader price,381,100,gramme
"Barre bretonne (quatre quart) ""winny""",445,100,gramme
Barre caramel,81,35,gramme
